Source,WORD,AoA (Yrs),AoA (100-700),IMG,FAM,Length (Letters),,,,,,,,,
GL,ensemble,NA,366,419,366,8,,,,,,,,,
BN,ensure,8.60,524,185,505,6,,,,,,,,,
BN,entail,9.70,581,100,466,6,,,,,,,,,
GL,enterprise,NA,407,319,407,10,,,,,,,,,
GL,enthusiasm,NA,506,464,506,10,,,,,,,,,
GL,entrance,NA,555,493,555,8,,,,,,,,,
BN,entry,6.00,330,293,565,5,,,,,,,,,
GL,enunciation,NA,238,216,238,11,,,,,,,,,
BN,envy,7.80,412,366,500,4,,,,,,,,,
GL,envy,NA,511,375,511,4,,,,,,,,,
GL,epicure,NA,246,280,246,7,,,,,,,,,
GL,epitaph,NA,348,418,348,7,,,,,,,,,
GL,equanimity,NA,214,153,214,10,,,,,,,,,
BN,equine,11.50,697,353,411,6,,,,,,,,,
GL,equipment,NA,543,410,543,9,,,,,,,,,
BN,erode,8.90,553,386,427,5,,,,,,,,,
GL,error,NA,542,408,542,5,,,,,,,,,
BN,escape,6.00,331,379,520,6,,,,,,,,,
GL,escape,NA,524,459,524,6,,,,,,,,,
BN,escort,8.30,520,334,453,6,,,,,,,,,
GL,essay,NA,578,564,578,5,,,,,,,,,
GL,establishment,NA,486,389,486,13,,,,,,,,,
BN,estate,8.10,492,469,480,6,,,,,,,,,
GL,estimate,NA,505,305,505,8,,,,,,,,,
GL,ether,NA,405,436,405,5,,,,,,,,,
BN,ethnic,9.40,567,356,486,6,,,,,,,,,
GL,etiquette,NA,332,388,332,9,,,,,,,,,
GL,evacuation,NA,378,405,378,10,,,,,,,,,
GL,evangelist,NA,318,456,318,10,,,,,,,,,
GL,evening,NA,630,559,630,7,,,,,,,,,
BN,event,6.80,406,261,566,5,,,,,,,,,
BN,ever,5.40,310,100,642,4,,,,,,,,,
GL,evergreen,NA,399,554,399,9,,,,,,,,,
GL,evidence,NA,504,356,504,8,,,,,,,,,
BN,evoke,10.50,647,186,439,5,,,,,,,,,
GL,ewe,NA,341,481,341,3,,,,,,,,,
BN,exam,6.90,407,529,591,4,,,,,,,,,
GL,examination,NA,570,575,570,11,,,,,,,,,
GL,exasperation,NA,419,375,419,12,,,,,,,,,
BN,excel,9.40,570,274,456,5,,,,,,,,,
GL,exception,NA,512,232,512,9,,,,,,,,,
GL,exchange,NA,504,394,504,8,,,,,,,,,
GL,excitement,NA,535,452,535,10,,,,,,,,,
BN,exclaim,7.80,472,300,456,7,,,,,,,,,
GL,excuse,NA,552,310,552,6,,,,,,,,,
GL,executive,NA,458,513,458,9,,,,,,,,,
BN,exert,9.30,570,223,462,5,,,,,,,,,
GL,exhaust,NA,510,520,510,7,,,,,,,,,
BN,exist,7.20,422,215,523,5,,,,,,,,,
GL,expanse,NA,433,497,433,7,,,,,,,,,
GL,expedition,NA,435,472,435,10,,,,,,,,,
BN,expel,8.50,532,270,447,5,,,,,,,,,
BN,expense,7.70,470,160,551,7,,,,,,,,,
GL,experience,NA,604,367,604,10,,,,,,,,,
BN,expert,7.60,469,325,540,6,,,,,,,,,
GL,explanation,NA,553,329,553,11,,,,,,,,,
GL,exploration,NA,467,451,467,11,,,,,,,,,
BN,explore,6.40,371,310,524,7,,,,,,,,,
BN,export,8.10,491,251,472,6,,,,,,,,,
GL,express,NA,530,456,530,7,,,,,,,,,
GL,extent,NA,510,248,510,6,,,,,,,,,
GL,exterior,NA,454,397,454,8,,,,,,,,,
GL,extra,NA,570,337,570,5,,,,,,,,,
GL,extreme,NA,557,332,557,7,,,,,,,,,
GL,eye,NA,611,603,611,3,,,,,,,,,
BN,eyeball,5.20,261,620,499,7,,,,,,,,,
GL,eyrie,NA,270,408,270,5,,,,,,,,,
GL,face,NA,612,581,612,4,,,,,,,,,
BN,facial,8.10,487,481,520,6,,,,,,,,,
GL,factor,NA,499,269,499,6,,,,,,,,,
GL,failure,NA,542,437,542,7,,,,,,,,,
BN,faint,6.80,393,425,488,5,,,,,,,,,
BN,fair,5.00,276,286,558,4,,,,,,,,,
GL,fairy,NA,471,536,471,5,,,,,,,,,
BN,fake,6.50,371,280,524,4,,,,,,,,,
BN,faker,7.20,414,281,449,5,,,,,,,,,
BN,false,6.00,353,230,530,5,,,,,,,,,
GL,falsehood,NA,348,326,348,9,,,,,,,,,
BN,falter,9.80,612,225,449,6,,,,,,,,,
BN,fame,6.70,400,386,508,4,,,,,,,,,
GL,family,NA,607,577,607,6,,,,,,,,,
BN,famous,5.80,314,432,588,6,,,,,,,,,
GL,fane,NA,225,205,225,4,,,,,,,,,
BN,fare,7.70,461,353,513,4,,,,,,,,,
GL,farewell,NA,436,466,436,8,,,,,,,,,
GL,farmyard,NA,443,594,443,8,,,,,,,,,
GL,fashion,NA,548,474,548,7,,,,,,,,,
GL,fat,NA,609,574,609,3,,,,,,,,,
BN,fate,7.90,477,232,503,4,,,,,,,,,
GL,fatherland,NA,286,378,286,10,,,,,,,,,
BN,fatigue,9.90,602,245,475,7,,,,,,,,,
BN,faucet,10.50,643,356,386,6,,,,,,,,,
BN,favour,6.50,380,254,569,6,,,,,,,,,
GL,favourite,NA,594,378,594,9,,,,,,,,,
GL,fawn,NA,433,565,433,4,,,,,,,,,
BN,fearful,7.00,414,317,475,7,,,,,,,,,
GL,feast,NA,457,610,457,5,,,,,,,,,
BN,feat,8.90,531,228,424,4,,,,,,,,,
GL,fee,NA,515,440,515,3,,,,,,,,,
GL,feeling,NA,612,370,612,7,,,,,,,,,
BN,feline,8.50,519,469,433,6,,,,,,,,,
GL,fellow,NA,475,435,475,6,,,,,,,,,
GL,fencing,NA,395,518,395,7,,,,,,,,,
BN,ferret,7.50,453,611,423,6,,,,,,,,,
GL,ferry,NA,458,592,458,5,,,,,,,,,
GL,fervour,NA,349,345,349,7,,,,,,,,,
BN,feudal,11.20,700,123,422,6,,,,,,,,,
GL,fever,NA,454,563,454,5,,,,,,,,,
BN,fibre,8.40,511,433,496,5,,,,,,,,,
BN,fiction,6.10,339,287,508,7,,,,,,,,,
GL,fiddle,NA,465,555,465,6,,,,,,,,,
GL,fielder,NA,365,472,365,7,,,,,,,,,
BN,fierce,6.00,333,399,483,6,,,,,,,,,
GL,fifteen,NA,539,491,539,7,,,,,,,,,
BN,fifth,5.00,269,395,496,5,,,,,,,,,
BN,fifty,5.30,305,435,557,5,,,,,,,,,
GL,fight,NA,561,543,561,5,,,,,,,,,
BN,fill,5.10,263,372,540,4,,,,,,,,,
GL,filling,NA,562,477,562,7,,,,,,,,,
BN,film,4.90,269,555,614,4,,,,,,,,,
BN,filter,7.30,435,341,484,6,,,,,,,,,
BN,filth,6.60,378,455,473,5,,,,,,,,,
GL,finance,NA,515,405,515,7,,,,,,,,,
GL,find,NA,580,370,580,4,,,,,,,,,
BN,finger,3.50,178,648,621,6,,,,,,,,,
GL,finish,NA,617,437,617,6,,,,,,,,,
GL,firewood,NA,444,586,444,8,,,,,,,,,
BN,firm,7.10,422,320,506,4,,,,,,,,,
GL,fisherman,NA,471,610,471,9,,,,,,,,,
GL,fissure,NA,285,381,285,7,,,,,,,,,
BN,fist,5.10,289,612,483,4,,,,,,,,,
GL,flag,NA,545,607,545,4,,,,,,,,,
BN,flame,5.30,282,647,518,5,,,,,,,,,
GL,flame,NA,551,598,551,5,,,,,,,,,
BN,flank,9.60,586,275,378,5,,,,,,,,,
BN,flap,5.60,299,423,489,4,,,,,,,,,
GL,flash,NA,509,528,509,5,,,,,,,,,
GL,flavour,NA,538,472,538,7,,,,,,,,,
BN,flee,7.90,473,451,432,4,,,,,,,,,
GL,fleece,NA,410,547,410,6,,,,,,,,,
BN,fleet,8.10,459,352,401,5,,,,,,,,,
GL,flesh,NA,483,567,483,5,,,,,,,,,
BN,flick,5.70,322,384,506,5,,,,,,,,,
BN,flicker,7.40,433,408,450,7,,,,,,,,,
BN,flight,6.00,337,487,531,6,,,,,,,,,
BN,flint,8.00,487,430,393,5,,,,,,,,,
BN,float,5.30,296,414,466,5,,,,,,,,,
BN,floater,7.80,470,329,408,7,,,,,,,,,
GL,flock,NA,434,516,434,5,,,,,,,,,
BN,flood,5.60,322,571,503,5,,,,,,,,,
GL,flora,NA,338,472,338,5,,,,,,,,,
BN,flour,5.10,275,505,501,5,,,,,,,,,
GL,flourish,NA,415,391,415,8,,,,,,,,,
BN,flow,6.20,348,429,499,4,,,,,,,,,
BN,flown,6.10,346,343,494,5,,,,,,,,,
GL,flue,NA,301,400,301,4,,,,,,,,,
BN,fluent,7.80,469,223,501,6,,,,,,,,,
BN,fluid,7.20,429,550,500,5,,,,,,,,,
BN,flung,7.30,440,313,456,5,,,,,,,,,
BN,flush,5.60,317,420,532,5,,,,,,,,,
GL,flutter,NA,394,459,394,7,,,,,,,,,
GL,flyer,NA,433,478,433,5,,,,,,,,,
BN,foam,5.30,308,583,499,4,,,,,,,,,
BN,fodder,9.30,580,315,373,6,,,,,,,,,
GL,foe,NA,344,435,344,3,,,,,,,,,
BN,fold,5.50,317,402,555,4,,,,,,,,,
BN,folder,5.90,342,565,567,6,,,,,,,,,
BN,folk,7.10,423,311,460,4,,,,,,,,,
BN,follow,4.70,263,327,604,6,,,,,,,,,
GL,following,NA,551,349,551,9,,,,,,,,,
BN,fond,7.80,469,283,462,4,,,,,,,,,
GL,font,NA,338,497,338,4,,,,,,,,,
BN,fool,5.90,345,353,531,4,,,,,,,,,
GL,football,NA,565,597,565,8,,,,,,,,,
GL,footstep,NA,517,526,517,8,,,,,,,,,
GL,force,NA,552,437,552,5,,,,,,,,,
BN,ford,8.90,541,450,450,4,,,,,,,,,
GL,forearm,NA,474,529,474,7,,,,,,,,,
BN,foreign,7.00,407,375,532,7,,,,,,,,,
GL,foreigner,NA,499,516,499,9,,,,,,,,,
GL,forelock,NA,353,421,353,8,,,,,,,,,
GL,forest,NA,513,633,513,6,,,,,,,,,
GL,forfeit,NA,380,310,380,7,,,,,,,,,
BN,forge,8.70,538,286,408,5,,,,,,,,,
GL,fork,NA,584,598,584,4,,,,,,,,,
GL,form,NA,553,452,553,4,,,,,,,,,
BN,former,8.40,520,196,475,6,,,,,,,,,
GL,fort,NA,418,559,418,4,,,,,,,,,
BN,forth,7.20,433,225,436,5,,,,,,,,,
GL,fortification,NA,356,426,356,13,,,,,,,,,
GL,fortune,NA,497,459,497,7,,,,,,,,,
BN,forty,5.60,320,370,535,5,,,,,,,,,
BN,forum,10.30,647,265,432,5,,,,,,,,,
BN,fought,6.40,366,395,475,6,,,,,,,,,
BN,foul,7.00,420,372,510,4,,,,,,,,,
GL,foundation,NA,475,429,475,10,,,,,,,,,
GL,fountain,NA,469,602,469,8,,,,,,,,,
BN,fourth,5.10,279,317,551,6,,,,,,,,,
GL,fox,NA,501,607,501,3,,,,,,,,,
BN,frail,7.80,459,380,447,5,,,,,,,,,
GL,frame,NA,494,508,494,5,,,,,,,,,
GL,franchise,NA,313,309,313,9,,,,,,,,,
BN,frank,8.40,511,238,468,5,,,,,,,,,
BN,frantic,8.60,539,279,465,7,,,,,,,,,
GL,fraud,NA,447,381,447,5,,,,,,,,,
BN,freak,8.00,510,435,539,5,,,,,,,,,
GL,freedom,NA,568,437,568,7,,,,,,,,,
GL,freight,NA,425,465,425,7,,,,,,,,,
GL,frenzy,NA,409,450,409,6,,,,,,,,,
BN,fresh,5.60,327,335,595,5,,,,,,,,,
GL,friar,NA,343,497,343,5,,,,,,,,,
GL,friendship,NA,567,535,567,10,,,,,,,,,
BN,fright,5.30,286,442,493,6,,,,,,,,,
GL,frill,NA,379,497,379,5,,,,,,,,,
BN,fringe,5.10,283,500,490,6,,,,,,,,,
BN,frock,5.80,330,599,421,5,,,,,,,,,
GL,frog,NA,507,617,507,4,,,,,,,,,
GL,frost,NA,546,595,546,5,,,,,,,,,
BN,frown,5.20,276,525,525,5,,,,,,,,,
BN,froze,6.10,349,475,530,5,,,,,,,,,
GL,fruit,NA,590,587,590,5,,,,,,,,,
GL,fudge,NA,477,567,477,5,,,,,,,,,
BN,fuel,7.00,406,494,480,4,,,,,,,,,
GL,fullness,NA,446,364,446,8,,,,,,,,,
GL,function,NA,518,294,518,8,,,,,,,,,
BN,fund,8.00,487,274,494,4,,,,,,,,,
BN,fungus,7.50,459,540,449,6,,,,,,,,,
BN,funky,8.90,533,347,543,5,,,,,,,,,
BN,funny,3.90,198,404,656,5,,,,,,,,,
BN,furious,7.00,399,358,516,7,,,,,,,,,
GL,furnace,NA,406,586,406,7,,,,,,,,,
GL,fury,NA,443,462,443,4,,,,,,,,,
BN,fusion,10.60,654,282,427,6,,,,,,,,,
BN,fuss,5.70,314,232,536,4,,,,,,,,,
GL,future,NA,612,413,612,6,,,,,,,,,
GL,gabardine,NA,277,402,277,9,,,,,,,,,
BN,gain,6.60,358,352,530,4,,,,,,,,,
GL,gain,NA,543,307,543,4,,,,,,,,,
BN,gale,7.20,435,457,434,4,,,,,,,,,
GL,gallery,NA,479,566,479,7,,,,,,,,,
BN,galley,8.90,553,385,372,6,,,,,,,,,
GL,game,NA,574,521,574,4,,,,,,,,,
BN,gamma,11.40,700,238,397,5,,,,,,,,,
GL,gang,NA,515,535,515,4,,,,,,,,,
GL,garden,NA,567,635,567,6,,,,,,,,,
GL,garment,NA,440,507,440,7,,,,,,,,,
GL,gas,NA,558,532,558,3,,,,,,,,,
BN,gasp,6.80,366,486,467,4,,,,,,,,,
GL,gasp,NA,457,491,457,4,,,,,,,,,
BN,gastric,12.00,700,214,408,7,,,,,,,,,
BN,gate,4.40,236,632,532,4,,,,,,,,,
BN,gather,6.50,367,319,516,6,,,,,,,,,
BN,gaunt,9.80,592,323,429,5,,,,,,,,,
GL,gauntlet,NA,269,450,269,8,,,,,,,,,
BN,gaze,7.00,407,396,606,4,,,,,,,,,
BN,gear,6.70,380,469,499,4,,,,,,,,,
GL,geese,NA,421,603,421,5,,,,,,,,,
BN,gender,7.60,460,421,536,6,,,,,,,,,
BN,gene,10.20,636,437,517,4,,,,,,,,,
GL,generation,NA,520,362,520,10,,,,,,,,,
GL,genius,NA,476,456,476,6,,,,,,,,,
GL,gentleman,NA,537,559,537,9,,,,,,,,,
GL,gentry,NA,309,462,309,6,,,,,,,,,
GL,geography,NA,495,470,495,9,,,,,,,,,
GL,germ,NA,523,442,523,4,,,,,,,,,
GL,gesture,NA,477,432,477,7,,,,,,,,,
BN,ghetto,10.60,636,490,440,6,,,,,,,,,
BN,ghost,4.20,214,622,482,5,,,,,,,,,
GL,giant,NA,469,562,469,5,,,,,,,,,
BN,gift,4.70,255,547,544,4,,,,,,,,,
GL,gig,NA,425,437,425,3,,,,,,,,,
BN,gilt,9.20,521,263,408,4,,,,,,,,,
GL,gingerbread,NA,427,572,427,11,,,,,,,,,
GL,girl,NA,645,634,645,4,,,,,,,,,
GL,giver,NA,416,378,416,5,,,,,,,,,
BN,glacial,9.90,603,445,402,7,,,,,,,,,
BN,glad,5.70,313,347,573,4,,,,,,,,,
BN,glamour,7.80,487,408,524,7,,,,,,,,,
BN,glance,7.50,453,373,506,6,,,,,,,,,
GL,glare,NA,458,536,458,5,,,,,,,,,
GL,gleam,NA,456,511,456,5,,,,,,,,,
GL,glimpse,NA,469,422,469,7,,,,,,,,,
BN,global,7.80,470,402,516,6,,,,,,,,,
GL,globe,NA,477,583,477,5,,,,,,,,,
BN,gloom,7.60,453,416,458,5,,,,,,,,,
BN,glory,7.10,415,316,461,5,,,,,,,,,
GL,glove,NA,575,596,575,5,,,,,,,,,
BN,glow,5.70,322,473,486,4,,,,,,,,,
GL,glut,NA,353,334,353,4,,,,,,,,,
GL,goal,NA,554,556,554,4,,,,,,,,,
BN,goat,3.90,204,636,443,4,,,,,,,,,
BN,goblet,8.30,505,493,384,6,,,,,,,,,
BN,goddess,7.50,461,525,432,7,,,,,,,,,
GL,godhead,NA,272,324,272,7,,,,,,,,,
BN,gold,5.00,276,624,506,4,,,,,,,,,
BN,golf,5.80,325,621,489,4,,,,,,,,,
GL,golf,NA,503,616,503,4,,,,,,,,,
GL,gondola,NA,291,572,291,7,,,,,,,,,
BN,goodbye,3.50,171,390,700,7,,,,,,,,,
GL,goodness,NA,509,416,509,8,,,,,,,,,
BN,goofy,5.80,322,441,452,5,,,,,,,,,
GL,gore,NA,322,429,322,4,,,,,,,,,
GL,gospel,NA,437,440,437,6,,,,,,,,,
BN,gothic,9.90,593,511,460,6,,,,,,,,,
BN,govern,8.80,531,217,438,6,,,,,,,,,
GL,government,NA,594,486,594,10,,,,,,,,,
BN,grab,5.50,299,429,550,4,,,,,,,,,
BN,grade,6.90,382,426,553,5,,,,,,,,,
GL,grade,NA,533,397,533,5,,,,,,,,,
BN,gradual,7.50,453,235,520,7,,,,,,,,,
GL,graduate,NA,520,516,520,8,,,,,,,,,
BN,grain,6.40,376,478,463,5,,,,,,,,,
GL,gramercy,NA,159,148,159,8,,,,,,,,,
GL,grandfather,NA,471,564,471,11,,,,,,,,,
GL,grandmother,NA,522,609,522,11,,,,,,,,,
BN,granite,9.30,560,463,404,7,,,,,,,,,
BN,granny,3.50,159,650,537,6,,,,,,,,,
GL,grape,NA,532,591,532,5,,,,,,,,,
BN,graphic,8.60,527,347,462,7,,,,,,,,,
GL,graphite,NA,335,443,335,8,,,,,,,,,
BN,grasp,7.10,423,330,489,5,,,,,,,,,
BN,grass,3.80,190,627,535,5,,,,,,,,,
GL,grave,NA,501,619,501,5,,,,,,,,,
BN,gravel,6.30,361,563,432,6,,,,,,,,,
GL,gravy,NA,522,594,522,5,,,,,,,,,
BN,grease,6.80,394,463,510,6,,,,,,,,,
GL,greed,NA,494,420,494,5,,,,,,,,,
GL,green,NA,583,609,583,5,,,,,,,,,
GL,greenness,NA,369,540,369,9,,,,,,,,,
BN,grenade,8.10,480,528,408,7,,,,,,,,,
BN,grey,4.90,268,487,530,4,,,,,,,,,
BN,griddle,10.70,658,376,392,7,,,,,,,,,
GL,grief,NA,505,480,505,5,,,,,,,,,
GL,grievance,NA,434,340,434,9,,,,,,,,,
BN,grim,7.00,421,263,486,4,,,,,,,,,
BN,grin,5.40,289,567,524,4,,,,,,,,,
BN,grind,7.00,413,390,464,5,,,,,,,,,
GL,grip,NA,523,540,523,4,,,,,,,,,
GL,groan,NA,508,506,508,5,,,,,,,,,
BN,gross,7.70,451,290,527,5,,,,,,,,,
GL,ground,NA,574,513,574,6,,,,,,,,,
GL,grove,NA,374,470,374,5,,,,,,,,,
BN,grow,5.10,275,390,551,4,,,,,,,,,
GL,growth,NA,560,426,560,6,,,,,,,,,
BN,guard,5.90,317,590,497,5,,,,,,,,,
GL,guard,NA,504,530,504,5,,,,,,,,,
GL,guess,NA,585,330,585,5,,,,,,,,,
BN,guest,5.50,306,364,547,5,,,,,,,,,
BN,guide,6.20,331,450,514,5,,,,,,,,,
GL,guide,NA,524,482,524,5,,,,,,,,,
BN,guild,10.70,661,187,391,5,,,,,,,,,
BN,guilt,7.20,433,250,543,5,,,,,,,,,
BN,guitar,5.30,299,645,495,6,,,,,,,,,
GL,gulf,NA,406,491,406,4,,,,,,,,,
BN,gullet,10.80,652,269,408,6,,,,,,,,,
GL,gun,NA,519,613,519,3,,,,,,,,,
GL,gush,NA,383,483,383,4,,,,,,,,,
GL,guy,NA,550,551,550,3,,,,,,,,,
GL,habit,NA,583,418,583,5,,,,,,,,,
BN,hackney,11.90,700,250,389,7,,,,,,,,,
GL,haddock,NA,475,532,475,7,,,,,,,,,
GL,hail,NA,440,477,440,4,,,,,,,,,
GL,half,NA,610,458,610,4,,,,,,,,,
GL,hall,NA,592,559,592,4,,,,,,,,,
BN,hallway,5.10,293,563,531,7,,,,,,,,,
GL,halter,NA,374,453,374,6,,,,,,,,,
BN,hammer,5.00,274,668,472,6,,,,,,,,,
GL,hammer,NA,515,618,515,6,,,,,,,,,
BN,hammock,6.90,407,585,432,7,,,,,,,,,
BN,handful,6.20,354,396,532,7,,,,,,,,,
GL,handkerchief,NA,551,583,551,12,,,,,,,,,
BN,handle,5.40,305,525,546,6,,,,,,,,,
GL,handmaid,NA,277,397,277,8,,,,,,,,,
BN,handy,6.20,345,223,542,5,,,,,,,,,
BN,hang,4.80,256,486,540,4,,,,,,,,,
GL,hank,NA,290,313,290,4,,,,,,,,,
BN,hanky,6.10,341,502,412,5,,,,,,,,,
GL,happiness,NA,581,519,581,9,,,,,,,,,
BN,harbour,6.70,350,614,455,7,,,,,,,,,
GL,harbour,NA,512,597,512,7,,,,,,,,,
BN,hardy,9.50,594,218,442,5,,,,,,,,,
GL,hare,NA,460,577,460,4,,,,,,,,,
BN,harm,5.60,299,376,515,4,,,,,,,,,
GL,harm,NA,536,362,536,4,,,,,,,,,
BN,harmful,6.40,373,330,533,7,,,,,,,,,
GL,harness,NA,421,513,421,7,,,,,,,,,
GL,harpsichord,NA,301,537,301,11,,,,,,,,,
BN,harsh,7.30,421,263,564,5,,,,,,,,,
BN,harvest,6.00,320,537,450,7,,,,,,,,,
GL,harvest,NA,466,562,466,7,,,,,,,,,
GL,haste,NA,409,416,409,5,,,,,,,,,
BN,hatch,5.70,342,445,424,5,,,,,,,,,
BN,hate,4.50,251,406,597,4,,,,,,,,,
GL,hate,NA,552,462,552,4,,,,,,,,,
BN,hath,10.00,628,144,356,4,,,,,,,,,
GL,haul,NA,454,406,454,4,,,,,,,,,
GL,havoc,NA,462,505,462,5,,,,,,,,,
BN,hawk,6.80,400,580,419,4,,,,,,,,,
GL,hay,NA,486,597,486,3,,,,,,,,,
BN,hazard,7.40,440,459,495,6,,,,,,,,,
BN,haze,7.00,407,360,428,4,,,,,,,,,
GL,head,NA,611,593,611,4,,,,,,,,,
BN,header,8.00,498,354,453,6,,,,,,,,,
GL,health,NA,577,432,577,6,,,,,,,,,
GL,heap,NA,519,494,519,4,,,,,,,,,
GL,heart,NA,578,617,578,5,,,,,,,,,
GL,heat,NA,580,507,580,4,,,,,,,,,
BN,heath,8.80,533,334,447,5,,,,,,,,,
GL,heaven,NA,536,448,536,6,,,,,,,,,
GL,hedge,NA,487,583,487,5,,,,,,,,,
BN,heel,5.70,305,550,511,4,,,,,,,,,
GL,height,NA,590,472,590,6,,,,,,,,,
BN,heir,8.50,533,295,412,4,,,,,,,,,
GL,hell,NA,564,519,564,4,,,,,,,,,
GL,help,NA,594,464,594,4,,,,,,,,,
GL,hen,NA,461,597,461,3,,,,,,,,,
GL,henchman,NA,273,447,273,8,,,,,,,,,
BN,herb,6.10,354,571,525,4,,,,,,,,,
BN,herbal,8.10,498,404,503,6,,,,,,,,,
GL,herd,NA,436,548,436,4,,,,,,,,,
GL,herdsman,NA,356,500,356,8,,,,,,,,,
GL,heresy,NA,334,329,334,6,,,,,,,,,
BN,hernia,12.60,700,365,393,6,,,,,,,,,
GL,hero,NA,510,483,510,4,,,,,,,,,
GL,herring,NA,425,524,425,7,,,,,,,,,
GL,hesitation,NA,484,332,484,10,,,,,,,,,
BN,hidden,5.00,279,356,524,6,,,,,,,,,
GL,hide,NA,515,430,515,4,,,,,,,,,
GL,hierarchy,NA,409,435,409,9,,,,,,,,,
GL,highway,NA,488,581,488,7,,,,,,,,,
GL,hill,NA,585,607,585,4,,,,,,,,,
GL,hind,NA,416,424,416,4,,,,,,,,,
BN,hint,7.10,382,322,539,4,,,,,,,,,
GL,hint,NA,555,343,555,4,,,,,,,,,
BN,hippie,8.40,524,600,464,6,,,,,,,,,
GL,history,NA,564,405,564,7,,,,,,,,,
GL,hive,NA,386,554,386,4,,,,,,,,,
BN,hobble,7.50,459,417,445,6,,,,,,,,,
GL,hobby,NA,518,494,518,5,,,,,,,,,
GL,hold,NA,596,416,596,4,,,,,,,,,
GL,holiday,NA,585,629,585,7,,,,,,,,,
BN,hollow,6.50,367,364,457,6,,,,,,,,,
BN,homage,11.20,681,213,385,6,,,,,,,,,
GL,home,NA,626,599,626,4,,,,,,,,,
BN,honest,5.50,310,202,601,6,,,,,,,,,
GL,honey,NA,533,608,533,5,,,,,,,,,
BN,honour,7.50,398,342,474,6,,,,,,,,,
GL,honour,NA,523,363,523,6,,,,,,,,,
BN,hood,5.30,291,580,541,4,,,,,,,,,
GL,hoof,NA,401,598,401,4,,,,,,,,,
BN,hook,5.50,313,595,473,4,,,,,,,,,
GL,hop,NA,432,554,432,3,,,,,,,,,
BN,hopeful,6.90,413,246,572,7,,,,,,,,,
GL,horn,NA,498,566,498,4,,,,,,,,,
GL,horror,NA,501,545,501,6,,,,,,,,,
GL,hose,NA,449,572,449,4,,,,,,,,,
GL,hospital,NA,548,602,548,8,,,,,,,,,
BN,hostess,7.90,472,498,471,7,,,,,,,,,
GL,hotel,NA,565,597,565,5,,,,,,,,,
GL,household,NA,504,502,504,9,,,,,,,,,
BN,hover,7.50,428,360,460,5,,,,,,,,,
GL,howl,NA,447,536,447,4,,,,,,,,,
GL,howler,NA,359,353,359,6,,,,,,,,,
GL,hue,NA,404,399,404,3,,,,,,,,,
BN,hull,9.10,575,375,395,4,,,,,,,,,
GL,human,NA,596,543,596,5,,,,,,,,,
BN,humane,9.50,574,148,432,6,,,,,,,,,
GL,humankind,NA,351,426,351,9,,,,,,,,,
BN,humour,7.20,379,369,572,6,,,,,,,,,
GL,humour,NA,555,462,555,6,,,,,,,,,
GL,hump,NA,439,515,439,4,,,,,,,,,
GL,hunger,NA,584,526,584,6,,,,,,,,,
BN,hungry,3.60,191,388,694,6,,,,,,,,,
GL,hunter,NA,428,564,428,6,,,,,,,,,
BN,hurt,4.00,221,450,573,4,,,,,,,,,
GL,hurt,NA,579,465,579,4,,,,,,,,,
GL,hush,NA,415,467,415,4,,,,,,,,,
GL,huzza,NA,131,156,131,5,,,,,,,,,
GL,hygiene,NA,493,459,493,7,,,,,,,,,
BN,hymn,5.00,276,399,413,4,,,,,,,,,
GL,hypothesis,NA,459,315,459,10,,,,,,,,,
GL,ice,NA,564,635,564,3,,,,,,,,,
BN,idea,5.50,317,220,623,4,,,,,,,,,
GL,ideal,NA,521,331,521,5,,,,,,,,,
GL,identification,NA,451,345,451,14,,,,,,,,,
BN,idiot,6.00,330,423,597,5,,,,,,,,,
BN,idle,8.70,523,242,450,4,,,,,,,,,
GL,idleness,NA,414,332,414,8,,,,,,,,,
BN,idol,8.80,546,375,498,4,,,,,,,,,
GL,ignition,NA,483,466,483,8,,,,,,,,,
BN,ignore,5.80,306,330,579,6,,,,,,,,,
GL,illiteracy,NA,413,348,413,10,,,,,,,,,
GL,illusion,NA,464,396,464,8,,,,,,,,,
GL,imagination,NA,570,407,570,11,,,,,,,,,
GL,imitator,NA,383,383,383,8,,,,,,,,,
BN,immense,8.60,527,308,478,7,,,,,,,,,
GL,immensity,NA,388,402,388,9,,,,,,,,,
GL,immortality,NA,424,348,424,11,,,,,,,,,
GL,immunity,NA,431,367,431,8,,,,,,,,,
BN,impact,8.20,502,355,510,6,,,,,,,,,
BN,impair,9.50,564,230,466,6,,,,,,,,,
GL,impatience,NA,530,413,530,10,,,,,,,,,
GL,impediment,NA,364,348,364,10,,,,,,,,,
GL,imperfection,NA,414,391,414,12,,,,,,,,,
GL,impersonation,NA,414,375,414,13,,,,,,,,,
GL,impetus,NA,353,272,353,7,,,,,,,,,
BN,import,8.10,487,282,482,6,,,,,,,,,
GL,importance,NA,575,347,575,10,,,,,,,,,
BN,impose,9.00,553,175,486,6,,,,,,,,,
GL,impossible,NA,565,302,565,10,,,,,,,,,
BN,impress,7.70,466,299,527,7,,,,,,,,,
GL,impression,NA,554,313,554,10,,,,,,,,,
GL,imprint,NA,439,332,439,7,,,,,,,,,
BN,improve,6.70,393,225,569,7,,,,,,,,,
GL,improvement,NA,564,332,564,11,,,,,,,,,
BN,impulse,8.60,516,293,527,7,,,,,,,,,
GL,impunity,NA,254,183,254,8,,,,,,,,,
GL,inaction,NA,327,270,327,8,,,,,,,,,
